country,tenkm
Republic of Ireland,IG98
Republic of Ireland,IG99
Republic of Ireland,IH00
Republic of Ireland,IH01
Republic of Ireland,IH02
Republic of Ireland,IH03
Northern Ireland,IH04
Northern Ireland,IH05
Northern Ireland,IH06
Republic of Ireland,IH07
Republic of Ireland,IH08
Republic of Ireland,IH09
Republic of Ireland,IH10
Republic of Ireland,IH11
Republic of Ireland,IH12
Northern Ireland,IH13
Northern Ireland,IH14
Northern Ireland,IH15
Northern Ireland,IH16
Northern Ireland,IH17
Northern Ireland,IH18
Republic of Ireland,IH19
Republic of Ireland,IH20
Republic of Ireland,IH21
Northern Ireland,IH22
Northern Ireland,IH23
Northern Ireland,IH24
Northern Ireland,IH25
Northern Ireland,IH26
Northern Ireland,IH27
Northern Ireland,IH28
Republic of Ireland,IH29
Republic of Ireland,IH30
Republic of Ireland,IH31
Northern Ireland,IH32
Northern Ireland,IH33
Northern Ireland,IH34
Northern Ireland,IH35
Northern Ireland,IH36
Northern Ireland,IH37
Northern Ireland,IH38
Northern Ireland,IH39
Republic of Ireland,IH40
Republic of Ireland,IH41
Northern Ireland,IH42
Northern Ireland,IH43
Northern Ireland,IH44
Northern Ireland,IH45
Northern Ireland,IH46
Northern Ireland,IH47
Northern Ireland,IH48
Northern Ireland,IH49
Republic of Ireland,IH50
Republic of Ireland,IH51
Republic of Ireland,IH52
Republic of Ireland,IH53
Northern Ireland,IH54
Northern Ireland,IH55
Northern Ireland,IH56
Northern Ireland,IH57
Northern Ireland,IH58
Northern Ireland,IH59
Republic of Ireland,IH60
Republic of Ireland,IH61
Republic of Ireland,IH62
Republic of Ireland,IH63
Republic of Ireland,IH64
Northern Ireland,IH65
Northern Ireland,IH66
Northern Ireland,IH67
Northern Ireland,IH68
Northern Ireland,IH69
Republic of Ireland,IH70
Republic of Ireland,IH71
Republic of Ireland,IH72
Republic of Ireland,IH73
Northern Ireland,IH74
Northern Ireland,IH75
Northern Ireland,IH76
Northern Ireland,IH77
Northern Ireland,IH78
Northern Ireland,IH79
Republic of Ireland,IH80
Republic of Ireland,IH81
Republic of Ireland,IH82
Northern Ireland,IH83
Northern Ireland,IH84
Northern Ireland,IH85
Northern Ireland,IH86
Northern Ireland,IH87
Northern Ireland,IH88
Northern Ireland,IH89
Republic of Ireland,IH90
Northern Ireland,IH91
Northern Ireland,IH92
Northern Ireland,IH93
Northern Ireland,IH94
Northern Ireland,IH95
Northern Ireland,IH96
Northern Ireland,IH97
Northern Ireland,IH98
Northern Ireland,IH99
Republic of Ireland,IJ00
Republic of Ireland,IJ01
Northern Ireland,IJ02
Northern Ireland,IJ03
Northern Ireland,IJ04
Northern Ireland,IJ05
Northern Ireland,IJ06
Northern Ireland,IJ07
Northern Ireland,IJ08
Northern Ireland,IJ09
Republic of Ireland,IJ10
Republic of Ireland,IJ11
Northern Ireland,IJ12
Northern Ireland,IJ13
Northern Ireland,IJ14
Northern Ireland,IJ15
Northern Ireland,IJ16
Northern Ireland,IJ17
Northern Ireland,IJ18
Northern Ireland,IJ19
Republic of Ireland,IJ20
Northern Ireland,IJ21
Northern Ireland,IJ22
Northern Ireland,IJ23
Northern Ireland,IJ24
Northern Ireland,IJ25
Northern Ireland,IJ26
Northern Ireland,IJ27
Northern Ireland,IJ28
Northern Ireland,IJ29
Northern Ireland,IJ30
Northern Ireland,IJ31
Northern Ireland,IJ32
Northern Ireland,IJ33
Northern Ireland,IJ34
Northern Ireland,IJ35
Northern Ireland,IJ36
Northern Ireland,IJ37
Northern Ireland,IJ38
Northern Ireland,IJ39
Northern Ireland,IJ41
Northern Ireland,IJ42
Northern Ireland,IJ43
Northern Ireland,IJ44
Northern Ireland,IJ45
Northern Ireland,IJ46
Northern Ireland,IJ47
Northern Ireland,IJ48
Northern Ireland,IJ49
Northern Ireland,IJ53
Northern Ireland,IJ54
Northern Ireland,IJ55
Northern Ireland,IJ56
Northern Ireland,IJ57
Northern Ireland,IJ58
Northern Ireland,IJ59
Northern Ireland,IJ63
Northern Ireland,IJ64
Northern Ireland,IJ65
Northern Ireland,IJ66
Northern Ireland,IJ67
Northern Ireland,IJ68
Northern Ireland,IJ76
Republic of Ireland,IL43
Republic of Ireland,IL44
Republic of Ireland,IL45
Republic of Ireland,IL46
Republic of Ireland,IL53
Republic of Ireland,IL54
Republic of Ireland,IL55
Republic of Ireland,IL56
Republic of Ireland,IL57
Republic of Ireland,IL62
Republic of Ireland,IL63
Republic of Ireland,IL64
Republic of Ireland,IL65
Republic of Ireland,IL66
Republic of Ireland,IL67
Republic of Ireland,IL68
Republic of Ireland,IL69
Republic of Ireland,IL70
Republic of Ireland,IL71
Republic of Ireland,IL72
Republic of Ireland,IL73
Republic of Ireland,IL74
Republic of Ireland,IL75
Republic of Ireland,IL76
Republic of Ireland,IL77
Republic of Ireland,IL78
Republic of Ireland,IL79
Republic of Ireland,IL80
Republic of Ireland,IL81
Republic of Ireland,IL82
Republic of Ireland,IL83
Republic of Ireland,IL84
Republic of Ireland,IL85
Republic of Ireland,IL86
Republic of Ireland,IL87
Republic of Ireland,IL88
Republic of Ireland,IL89
Republic of Ireland,IL90
Republic of Ireland,IL91
Republic of Ireland,IL92
Republic of Ireland,IL93
Republic of Ireland,IL94
Republic of Ireland,IL95
Republic of Ireland,IL96
Republic of Ireland,IL97
Republic of Ireland,IL98
Republic of Ireland,IL99
Republic of Ireland,IM00
Republic of Ireland,IM01
Republic of Ireland,IM02
Republic of Ireland,IM03
Republic of Ireland,IM04
Republic of Ireland,IM05
Republic of Ireland,IM06
Republic of Ireland,IM07
Republic of Ireland,IM08
Republic of Ireland,IM09
Republic of Ireland,IM10
Republic of Ireland,IM11
Republic of Ireland,IM12
Republic of Ireland,IM13
Republic of Ireland,IM14
Republic of Ireland,IM15
Republic of Ireland,IM16
Republic of Ireland,IM17
Republic of Ireland,IM18
Republic of Ireland,IM19
Republic of Ireland,IM20
Republic of Ireland,IM21
Republic of Ireland,IM22
Republic of Ireland,IM23
Republic of Ireland,IM24
Republic of Ireland,IM25
Republic of Ireland,IM26
Republic of Ireland,IM27
Republic of Ireland,IM28
Republic of Ireland,IM29
Republic of Ireland,IM30
Republic of Ireland,IM31
Republic of Ireland,IM32
Republic of Ireland,IM33
Republic of Ireland,IM34
Republic of Ireland,IM35
Republic of Ireland,IM36
Republic of Ireland,IM37
Republic of Ireland,IM38
Republic of Ireland,IM39
Republic of Ireland,IM40
Republic of Ireland,IM41
Republic of Ireland,IM42
Republic of Ireland,IM43
Republic of Ireland,IM44
Republic of Ireland,IM45
Republic of Ireland,IM46
Republic of Ireland,IM47
Republic of Ireland,IM48
Republic of Ireland,IM49
Republic of Ireland,IM50
Republic of Ireland,IM51
Republic of Ireland,IM52
Republic of Ireland,IM53
Republic of Ireland,IM54
Republic of Ireland,IM55
Republic of Ireland,IM56
Republic of Ireland,IM57
Republic of Ireland,IM58
Republic of Ireland,IM59
Republic of Ireland,IM60
Republic of Ireland,IM61
Republic of Ireland,IM62
Republic of Ireland,IM63
Republic of Ireland,IM64
Republic of Ireland,IM65
Republic of Ireland,IM66
Republic of Ireland,IM67
Republic of Ireland,IM68
Republic of Ireland,IM69
Republic of Ireland,IM70
Republic of Ireland,IM71
Republic of Ireland,IM72
Republic of Ireland,IM73
Republic of Ireland,IM74
Republic of Ireland,IM75
Republic of Ireland,IM76
Republic of Ireland,IM77
Republic of Ireland,IM78
Republic of Ireland,IM79
Republic of Ireland,IM80
Republic of Ireland,IM81
Republic of Ireland,IM82
Republic of Ireland,IM83
Republic of Ireland,IM84
Republic of Ireland,IM85
Republic of Ireland,IM86
Republic of Ireland,IM87
Republic of Ireland,IM88
Republic of Ireland,IM89
Republic of Ireland,IM90
Republic of Ireland,IM91
Republic of Ireland,IM92
Republic of Ireland,IM93
Republic of Ireland,IM94
Republic of Ireland,IM95
Republic of Ireland,IM96
Republic of Ireland,IM97
Republic of Ireland,IM98
Republic of Ireland,IM99
Republic of Ireland,IN00
Republic of Ireland,IN01
Republic of Ireland,IN02
Republic of Ireland,IN03
Republic of Ireland,IN04
Republic of Ireland,IN05
Republic of Ireland,IN06
Republic of Ireland,IN07
Republic of Ireland,IN08
Republic of Ireland,IN09
Republic of Ireland,IN10
Republic of Ireland,IN11
Republic of Ireland,IN12
Republic of Ireland,IN13
Republic of Ireland,IN14
Republic of Ireland,IN15
Republic of Ireland,IN16
Republic of Ireland,IN17
Republic of Ireland,IN18
Republic of Ireland,IN19
Republic of Ireland,IN20
Republic of Ireland,IN21
Republic of Ireland,IN22
Republic of Ireland,IN23
Republic of Ireland,IN24
Republic of Ireland,IN25
Republic of Ireland,IN26
Republic of Ireland,IN27
Republic of Ireland,IN28
Republic of Ireland,IN29
Republic of Ireland,IN30
Republic of Ireland,IN31
Republic of Ireland,IN32
Republic of Ireland,IN33
Republic of Ireland,IN34
Republic of Ireland,IN35
Republic of Ireland,IN36
Republic of Ireland,IN37
Republic of Ireland,IN38
Republic of Ireland,IN39
Republic of Ireland,IN40
Republic of Ireland,IN41
Republic of Ireland,IN42
Republic of Ireland,IN43
Republic of Ireland,IN44
Republic of Ireland,IN45
Republic of Ireland,IN46
Republic of Ireland,IN47
Republic of Ireland,IN48
Republic of Ireland,IN49
Republic of Ireland,IN50
Republic of Ireland,IN51
Republic of Ireland,IN52
Republic of Ireland,IN53
Republic of Ireland,IN54
Republic of Ireland,IN55
Republic of Ireland,IN56
Republic of Ireland,IN57
Republic of Ireland,IN58
Republic of Ireland,IN59
Republic of Ireland,IN60
Republic of Ireland,IN61
Republic of Ireland,IN62
Republic of Ireland,IN63
Republic of Ireland,IN64
Republic of Ireland,IN65
Republic of Ireland,IN66
Republic of Ireland,IN67
Republic of Ireland,IN68
Republic of Ireland,IN69
Republic of Ireland,IN70
Republic of Ireland,IN71
Republic of Ireland,IN72
Republic of Ireland,IN73
Republic of Ireland,IN74
Republic of Ireland,IN75
Republic of Ireland,IN76
Republic of Ireland,IN77
Republic of Ireland,IN78
Republic of Ireland,IN79
Republic of Ireland,IN80
Republic of Ireland,IN81
Republic of Ireland,IN82
Republic of Ireland,IN83
Republic of Ireland,IN84
Republic of Ireland,IN85
Republic of Ireland,IN86
Republic of Ireland,IN87
Republic of Ireland,IN88
Republic of Ireland,IN89
Republic of Ireland,IN90
Republic of Ireland,IN91
Republic of Ireland,IN92
Republic of Ireland,IN93
Republic of Ireland,IN94
Republic of Ireland,IN95
Republic of Ireland,IN96
Republic of Ireland,IN97
Republic of Ireland,IN98
Republic of Ireland,IN99
Republic of Ireland,IO00
Republic of Ireland,IO01
Republic of Ireland,IO02
Republic of Ireland,IO03
Republic of Ireland,IO04
Republic of Ireland,IO05
Republic of Ireland,IO06
Republic of Ireland,IO07
Republic of Ireland,IO08
Republic of Ireland,IO09
Republic of Ireland,IO10
Republic of Ireland,IO11
Republic of Ireland,IO12
Republic of Ireland,IO13
Republic of Ireland,IO14
Republic of Ireland,IO15
Republic of Ireland,IO16
Republic of Ireland,IO17
Republic of Ireland,IO18
Republic of Ireland,IO19
Republic of Ireland,IO20
Republic of Ireland,IO21
Republic of Ireland,IO22
Republic of Ireland,IO23
Republic of Ireland,IO24
Republic of Ireland,IO25
Republic of Ireland,IO26
Republic of Ireland,IO27
Republic of Ireland,IO28
Republic of Ireland,IO30
Republic of Ireland,IO31
Republic of Ireland,IO32
Republic of Ireland,IO33
Republic of Ireland,IO34
Republic of Ireland,IO35
Republic of Ireland,IO36
Republic of Ireland,IQ10
Republic of Ireland,IQ20
Republic of Ireland,IQ30
Republic of Ireland,IQ31
Republic of Ireland,IQ40
Republic of Ireland,IQ41
Republic of Ireland,IQ42
Republic of Ireland,IQ50
Republic of Ireland,IQ51
Republic of Ireland,IQ52
Republic of Ireland,IQ60
Republic of Ireland,IQ61
Republic of Ireland,IQ62
Republic of Ireland,IQ63
Republic of Ireland,IQ64
Republic of Ireland,IQ65
Republic of Ireland,IQ70
Republic of Ireland,IQ71
Republic of Ireland,IQ72
Republic of Ireland,IQ73
Republic of Ireland,IQ74
Republic of Ireland,IQ75
Republic of Ireland,IQ80
Republic of Ireland,IQ81
Republic of Ireland,IQ82
Republic of Ireland,IQ83
Republic of Ireland,IQ84
Republic of Ireland,IQ85
Republic of Ireland,IQ86
Republic of Ireland,IQ90
Republic of Ireland,IQ91
Republic of Ireland,IQ92
Republic of Ireland,IQ93
Republic of Ireland,IQ94
Republic of Ireland,IQ95
Republic of Ireland,IQ96
Republic of Ireland,IQ97
Republic of Ireland,IQ98
Republic of Ireland,IQ99
Republic of Ireland,IR00
Republic of Ireland,IR01
Republic of Ireland,IR02
Republic of Ireland,IR03
Republic of Ireland,IR04
Republic of Ireland,IR05
Republic of Ireland,IR06
Republic of Ireland,IR07
Republic of Ireland,IR08
Republic of Ireland,IR09
Republic of Ireland,IR10
Republic of Ireland,IR11
Republic of Ireland,IR12
Republic of Ireland,IR13
Republic of Ireland,IR14
Republic of Ireland,IR15
Republic of Ireland,IR16
Republic of Ireland,IR17
Republic of Ireland,IR18
Republic of Ireland,IR19
Republic of Ireland,IR20
Republic of Ireland,IR21
Republic of Ireland,IR22
Republic of Ireland,IR23
Republic of Ireland,IR24
Republic of Ireland,IR25
Republic of Ireland,IR26
Republic of Ireland,IR27
Republic of Ireland,IR28
Republic of Ireland,IR29
Republic of Ireland,IR30
Republic of Ireland,IR31
Republic of Ireland,IR32
Republic of Ireland,IR33
Republic of Ireland,IR34
Republic of Ireland,IR35
Republic of Ireland,IR36
Republic of Ireland,IR37
Republic of Ireland,IR38
Republic of Ireland,IR39
Republic of Ireland,IR40
Republic of Ireland,IR41
Republic of Ireland,IR42
Republic of Ireland,IR43
Republic of Ireland,IR44
Republic of Ireland,IR45
Republic of Ireland,IR46
Republic of Ireland,IR47
Republic of Ireland,IR48
Republic of Ireland,IR49
Republic of Ireland,IR50
Republic of Ireland,IR51
Republic of Ireland,IR52
Republic of Ireland,IR53
Republic of Ireland,IR54
Republic of Ireland,IR55
Republic of Ireland,IR56
Republic of Ireland,IR57
Republic of Ireland,IR58
Republic of Ireland,IR59
Republic of Ireland,IR60
Republic of Ireland,IR61
Republic of Ireland,IR62
Republic of Ireland,IR63
Republic of Ireland,IR64
Republic of Ireland,IR65
Republic of Ireland,IR66
Republic of Ireland,IR67
Republic of Ireland,IR68
Republic of Ireland,IR69
Republic of Ireland,IR70
Republic of Ireland,IR71
Republic of Ireland,IR72
Republic of Ireland,IR73
Republic of Ireland,IR74
Republic of Ireland,IR75
Republic of Ireland,IR76
Republic of Ireland,IR77
Republic of Ireland,IR78
Republic of Ireland,IR79
Republic of Ireland,IR80
Republic of Ireland,IR81
Republic of Ireland,IR82
Republic of Ireland,IR83
Republic of Ireland,IR84
Republic of Ireland,IR85
Republic of Ireland,IR86
Republic of Ireland,IR87
Republic of Ireland,IR88
Republic of Ireland,IR89
Republic of Ireland,IR90
Republic of Ireland,IR91
Republic of Ireland,IR92
Republic of Ireland,IR93
Republic of Ireland,IR94
Republic of Ireland,IR95
Republic of Ireland,IR96
Republic of Ireland,IR97
Republic of Ireland,IR98
Republic of Ireland,IR99
Republic of Ireland,IS00
Republic of Ireland,IS01
Republic of Ireland,IS02
Republic of Ireland,IS03
Republic of Ireland,IS04
Republic of Ireland,IS05
Republic of Ireland,IS06
Republic of Ireland,IS07
Republic of Ireland,IS08
Republic of Ireland,IS09
Republic of Ireland,IS10
Republic of Ireland,IS11
Republic of Ireland,IS12
Republic of Ireland,IS13
Republic of Ireland,IS14
Republic of Ireland,IS15
Republic of Ireland,IS16
Republic of Ireland,IS17
Republic of Ireland,IS18
Republic of Ireland,IS19
Republic of Ireland,IS20
Republic of Ireland,IS21
Republic of Ireland,IS22
Republic of Ireland,IS23
Republic of Ireland,IS24
Republic of Ireland,IS25
Republic of Ireland,IS26
Republic of Ireland,IS27
Republic of Ireland,IS28
Republic of Ireland,IS29
Republic of Ireland,IS30
Republic of Ireland,IS31
Republic of Ireland,IS32
Republic of Ireland,IS33
Republic of Ireland,IS34
Republic of Ireland,IS35
Republic of Ireland,IS36
Republic of Ireland,IS37
Republic of Ireland,IS38
Republic of Ireland,IS39
Republic of Ireland,IS40
Republic of Ireland,IS41
Republic of Ireland,IS42
Republic of Ireland,IS43
Republic of Ireland,IS44
Republic of Ireland,IS45
Republic of Ireland,IS46
Republic of Ireland,IS47
Republic of Ireland,IS48
Republic of Ireland,IS49
Republic of Ireland,IS50
Republic of Ireland,IS51
Republic of Ireland,IS52
Republic of Ireland,IS53
Republic of Ireland,IS54
Republic of Ireland,IS55
Republic of Ireland,IS56
Republic of Ireland,IS57
Republic of Ireland,IS58
Republic of Ireland,IS59
Republic of Ireland,IS60
Republic of Ireland,IS61
Republic of Ireland,IS62
Republic of Ireland,IS63
Republic of Ireland,IS64
Republic of Ireland,IS65
Republic of Ireland,IS66
Republic of Ireland,IS67
Republic of Ireland,IS68
Republic of Ireland,IS69
Republic of Ireland,IS70
Republic of Ireland,IS71
Republic of Ireland,IS72
Republic of Ireland,IS73
Republic of Ireland,IS74
Republic of Ireland,IS75
Republic of Ireland,IS76
Republic of Ireland,IS77
Republic of Ireland,IS78
Republic of Ireland,IS79
Republic of Ireland,IS80
Republic of Ireland,IS81
Republic of Ireland,IS82
Republic of Ireland,IS83
Republic of Ireland,IS84
Republic of Ireland,IS85
Republic of Ireland,IS86
Republic of Ireland,IS87
Republic of Ireland,IS88
Republic of Ireland,IS89
Republic of Ireland,IS90
Republic of Ireland,IS91
Republic of Ireland,IS92
Republic of Ireland,IS93
Republic of Ireland,IS94
Republic of Ireland,IS95
Republic of Ireland,IS96
Republic of Ireland,IS97
Republic of Ireland,IS98
Republic of Ireland,IS99
Republic of Ireland,IT00
Republic of Ireland,IT01
Republic of Ireland,IT02
Republic of Ireland,IT03
Republic of Ireland,IT04
Republic of Ireland,IT05
Republic of Ireland,IT06
Republic of Ireland,IT07
Republic of Ireland,IT08
Republic of Ireland,IT09
Republic of Ireland,IT10
Republic of Ireland,IT11
Republic of Ireland,IT12
Republic of Ireland,IT13
Republic of Ireland,IT14
Republic of Ireland,IT15
Republic of Ireland,IT16
Republic of Ireland,IT17
Republic of Ireland,IT18
Republic of Ireland,IT19
Republic of Ireland,IT23
Republic of Ireland,IT24
Republic of Ireland,IT25
Republic of Ireland,IT26
Republic of Ireland,IT27
Republic of Ireland,IT28
Republic of Ireland,IT29
Republic of Ireland,IT37
Republic of Ireland,IT38
Republic of Ireland,IT39
Republic of Ireland,IV18
Republic of Ireland,IV19
Republic of Ireland,IV25
Republic of Ireland,IV26
Republic of Ireland,IV27
Republic of Ireland,IV28
Republic of Ireland,IV29
Republic of Ireland,IV33
Republic of Ireland,IV34
Republic of Ireland,IV35
Republic of Ireland,IV36
Republic of Ireland,IV37
Republic of Ireland,IV38
Republic of Ireland,IV39
Republic of Ireland,IV43
Republic of Ireland,IV44
Republic of Ireland,IV45
Republic of Ireland,IV46
Republic of Ireland,IV47
Republic of Ireland,IV48
Republic of Ireland,IV49
Republic of Ireland,IV53
Republic of Ireland,IV54
Republic of Ireland,IV55
Republic of Ireland,IV56
Republic of Ireland,IV57
Republic of Ireland,IV58
Republic of Ireland,IV59
Republic of Ireland,IV62
Republic of Ireland,IV63
Republic of Ireland,IV64
Republic of Ireland,IV65
Republic of Ireland,IV66
Republic of Ireland,IV67
Republic of Ireland,IV68
Republic of Ireland,IV69
Republic of Ireland,IV71
Republic of Ireland,IV72
Republic of Ireland,IV73
Republic of Ireland,IV74
Republic of Ireland,IV75
Republic of Ireland,IV76
Republic of Ireland,IV77
Republic of Ireland,IV78
Republic of Ireland,IV79
Republic of Ireland,IV81
Republic of Ireland,IV82
Republic of Ireland,IV83
Republic of Ireland,IV84
Republic of Ireland,IV85
Republic of Ireland,IV86
Republic of Ireland,IV87
Republic of Ireland,IV88
Republic of Ireland,IV89
Republic of Ireland,IV91
Republic of Ireland,IV92
Republic of Ireland,IV93
Republic of Ireland,IV94
Republic of Ireland,IV95
Republic of Ireland,IV96
Republic of Ireland,IV97
Republic of Ireland,IV98
Republic of Ireland,IV99
Republic of Ireland,IW01
Republic of Ireland,IW02
Republic of Ireland,IW03
Republic of Ireland,IW04
Republic of Ireland,IW05
Republic of Ireland,IW06
Republic of Ireland,IW07
Republic of Ireland,IW08
Republic of Ireland,IW09
Republic of Ireland,IW12
Republic of Ireland,IW13
Republic of Ireland,IW14
Republic of Ireland,IW15
Republic of Ireland,IW16
Republic of Ireland,IW17
Republic of Ireland,IW18
